Mission, Lat, Long, Founded
Mission San Diego de Alcala, 32.785278, -117.106389, 1769
Mission San Carlos Borromeo de Carmelo, 36.542778, -121.918611, 1770
Mission San Antonio de Padua, 36.015, -121.25, 1771
Mission San Gabriel Arcangel, 34.097386, -118.1063, 1771
Mission San Luis Obispo de Tolosa, 35.280704, -120.664542, 1772
Mission San Francisco de Asis, 37.764389, -122.427028, 1776
Mission San Juan Capistrano, 33.502778, -117.662778, 1776
Mission Santa Clara de Asis, 37.349167, -121.941667, 1777
Mission San Buenaventura, 34.281111, -119.298056, 1782
Mission Santa Barbara, 34.438333, -119.713889, 1786
La Purisima Mission, 34.67047, -120.420617, 1787
Mission Santa Cruz, 36.978117, -122.029397, 1791
Mission Nuestra Senora de la Soledad, 36.404619, -121.355807, 1797
Mission San Jose, 37.532778, -121.919444, 1797
Mission San Juan Bautista, 36.845, -121.535833, 1797
Mission San Miguel Arcangel, 35.744722, -120.698056, 1797
Mission San Fernando Rey de Espana, 34.273056, -118.461111, 1797
Mission San Luis Rey de Francia, 33.2325, -117.320278, 1798
Mission Santa Ines, 34.594444, -120.136944, 1804
Mission San Rafael Arcangel, 37.974333, -122.52791, 1817
Mission San Francisco Solano, 38.293889, -122.455833, 1823
